Indepentent_vari,predicted_prob,ci_lower,ci_upper,parliament_session,environment
galtan,0.65,0.59,0.71,EP7,Environment
galtan,0.76,0.73,0.79,EP8,Environment
galtan,0.75,0.71,0.79,EP9,Environment
galtan,0.68,0.64,0.72,EP7,Non-environment
galtan,0.63,0.59,0.68,EP8,Non-environment
galtan,0.75,0.70,0.80,EP9,Non-environment
eu_position,0.65,0.60,0.69,EP7,Environment
eu_position,0.76,0.74,0.79,EP8,Environment
eu_position,0.86,0.84,0.89,EP9,Environment
eu_position,0.78,0.75,0.82,EP7,Non-environment
eu_position,0.76,0.73,0.80,EP8,Non-environment
eu_position,0.87,0.83,0.90,EP9,Non-environment
lrgen,0.94,0.86,1.00,EP7,Environment
lrgen,0.89,0.85,0.92,EP8,Environment
lrgen,0.71,0.68,0.74,EP9,Environment
lrgen,0.95,0.90,1.00,EP7,Non-environment
lrgen,0.89,0.85,0.94,EP8,Non-environment
lrgen,0.80,0.76,0.84,EP9,Non-environment
