Indepentent_vari,predicted_prob,ci_lower,ci_upper,parliament_session,environment
galtan,0.37,0.32,0.43,EP7,Environment
galtan,0.59,0.54,0.64,EP8,Environment
galtan,0.62,0.57,0.67,EP9,Environment
galtan,0.47,0.41,0.52,EP7,Non-environment
galtan,0.49,0.44,0.54,EP8,Non-environment
galtan,0.62,0.57,0.67,EP9,Non-environment
eu_position,0.49,0.45,0.53,EP7,Environment
eu_position,0.64,0.60,0.68,EP8,Environment
eu_position,0.72,0.68,0.76,EP9,Environment
eu_position,0.66,0.62,0.71,EP7,Non-environment
eu_position,0.65,0.61,0.69,EP8,Non-environment
eu_position,0.69,0.65,0.73,EP9,Non-environment
lrgen,0.57,0.51,0.63,EP7,Environment
lrgen,0.71,0.65,0.77,EP8,Environment
lrgen,0.55,0.49,0.61,EP9,Environment
lrgen,0.83,0.77,0.89,EP7,Non-environment
lrgen,0.72,0.66,0.78,EP8,Non-environment
lrgen,0.60,0.54,0.66,EP9,Non-environment
