Indepentent_vari,predicted_prob,ci_lower,ci_upper,parliament_session,environment
galtan,0.29,0.24,0.35,EP7,Environment
galtan,0.45,0.40,0.50,EP8,Environment
galtan,0.48,0.43,0.53,EP9,Environment
galtan,0.33,0.28,0.39,EP7,Non-environment
galtan,0.33,0.28,0.38,EP8,Non-environment
galtan,0.50,0.45,0.55,EP9,Non-environment
eu_position,0.26,0.22,0.3,EP7,Environment
eu_position,0.43,0.39,0.47,EP8,Environment
eu_position,0.52,0.48,0.56,EP9,Environment
eu_position,0.44,0.40,0.48,EP7,Non-environment
eu_position,0.46,0.42,0.50,EP8,Non-environment
eu_position,0.47,0.44,0.51,EP9,Non-environment
lrgen,0.34,0.28,0.40,EP7,Environment
lrgen,0.49,0.43,0.55,EP8,Environment
lrgen,0.28,0.22,0.34,EP9,Environment
lrgen,0.68,0.62,0.74,EP7,Non-environment
lrgen,0.51,0.45,0.57,EP8,Non-environment
lrgen,0.36,0.30,0.42,EP9,Non-environment
